año,trimestre,provincia,banda_ancha_fija,dial_up,total
2017,4,Tucumán,162.298,34.0,162.332
2017,3,Buenos Aires,3.046.758,11.202,3.057.960
2017,3,Capital Federal,1.563.289,7.07,1.570.359
2017,3,Catamarca,33.467,11.0,33.478
2017,3,Chaco,93.747,12.0,93.759
2017,3,Chubut,81.067,2.477,83.544
2017,3,Córdoba,696.536,108.0,696.644
2017,3,Corrientes,92.536,12.0,92.548
2017,3,Entre Ríos,185.414,50.0,185.464
2017,3,Formosa,32.105,0.0,32.105
2017,3,Jujuy,43.241,1.0,43.242
2017,3,La Pampa,79.280,410.0,79.690
2017,3,La Rioja,51.896,17.0,51.913
2017,3,Mendoza,190.958,1.533,192.491
2017,3,Misiones,100.476,0.0,100.476
2017,3,Neuquén,113.755,2.029,115.784
2017,3,Río Negro,106.393,1.103,107.496
2017,3,Salta,132.517,1.0,132.518
2017,3,San Juan,61.789,660.0,62.449
2017,3,San Luis,21.408,311.0,21.719
2017,3,Santa Cruz,33.222,468.0,33.690
2017,3,Santa Fe,662.086,256.0,662.342
2017,3,Santiago Del Estero,82.792,2.0,82.794
2017,3,Tierra Del Fuego,30.883,583.0,31.466
2017,3,Tucumán,160.979,33.0,161.012
2017,2,Buenos Aires,3.067.430,11.201,3.078.631
2017,2,Capital Federal,1.592.175,8.016,1.600.191
2017,2,Catamarca,26.692,13.0,26.705
2017,2,Chaco,90.597,14.0,90.611
2017,2,Chubut,62.245,1.73,63.975
2017,2,Córdoba,657.505,133.0,657.638
2017,2,Corrientes,90.085,12.0,90.097
2017,2,Entre Ríos,182.675,57.0,182.732
2017,2,Formosa,29.956,0.0,29.956
2017,2,Jujuy,42.656,1.0,42.657
2017,2,La Pampa,72.573,449.0,73.022
2017,2,La Rioja,16.271,18.0,16.289
2017,2,Mendoza,169.302,1.451,170.753
2017,2,Misiones,99.794,0.0,99.794
2017,2,Neuquén,115.321,2.112,117.433
2017,2,Río Negro,100.621,998.0,101.619
2017,2,Salta,108.540,1.0,108.541
2017,2,San Juan,51.261,620.0,51.881
2017,2,San Luis,12.992,315.0,13.307
2017,2,Santa Cruz,26.019,369.0,26.388
2017,2,Santa Fe,566.918,362.0,567.280
2017,2,Santiago Del Estero,33.194,2.0,33.196
2017,2,Tierra Del Fuego,31.938,619.0,32.557
2017,2,Tucumán,154.374,37.0,154.411
